"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000152583",998.337855826789,4.57225331234759,0.183940141701644,24.8572892792695,2.15675153175754e-136,3.57934484210482e-132
"ENSG00000165995",495.74390646324,3.28848372850633,0.132631442299631,24.7941488947788,1.03671668378543e-135,8.60267504205151e-132
"ENSG00000120129",3412.96636722969,2.94519716211327,0.122180910135942,24.1052154451653,2.2039536254645e-128,1.21922714560696e-124
"ENSG00000101347",12718.3059992293,3.76436409185053,0.1563580551311,24.0752808590146,4.53861915438618e-128,1.88307308715483e-124
"ENSG00000189221",2344.07926169212,3.35103945561822,0.142170713288122,23.5705327638543,7.73208422947188e-123,2.56643339744631e-119
"ENSG00000211445",12303.0282271948,3.72776627968037,0.16698515623317,22.3239380300073,2.16367489182791e-110,5.98472475079601e-107
"ENSG00000157214",3013.49816283239,1.97412034840435,0.0912427433370803,21.6359161967687,8.24942758799616e-104,1.95582143214835e-100
"ENSG00000162614",5400.10399071683,2.03303447802017,0.0959172234591165,21.1957186071668,1.04589854788906e-99,2.16971653759585e-96
"ENSG00000125148",3660.24035945837,2.20834059189817,0.106895961441563,20.6587841310115,8.13878947956559e-95,1.50079278003189e-91
"ENSG00000154734",30352.2379328693,2.34296700875059,0.117437077398365,19.950828653568,1.47424710026326e-88,2.44666048759691e-85
"ENSG00000139132",1224.85906994744,2.22623983424095,0.113145580070151,19.6758886459434,3.47039740081165e-86,5.23588320580638e-83
"ENSG00000162493",1101.05048584945,1.8886637777127,0.0965063862467481,19.5703502241163,2.76773080157921e-85,3.82777169858404e-82
"ENSG00000162692",509.374874361374,-3.69479385248841,0.189242087878449,-19.5241655485306,6.84256085037922e-85,8.73531845176104e-82
"ENSG00000179094",777.318224357546,3.18908356791094,0.163554193457033,19.4986352872006,1.12750790928778e-84,1.33658009018142e-81
"ENSG00000134243",5517.59581613519,2.19305115233108,0.112804862417866,19.4411048010263,3.46620507668143e-84,3.83500929684033e-81
"ENSG00000163884",561.688060329866,4.4567754680645,0.233494018421135,19.0873218003647,3.21852724940641e-81,3.33841738944679e-78
"ENSG00000178695",2656.00165466089,-2.53087297565141,0.135412530570183,-18.6900943730586,5.96074748147331e-78,5.81909207073712e-75
"ENSG00000148848",1368.06694228104,-1.81713750256436,0.100900402259239,-18.009219605445,1.64937473783374e-72,1.5207235082827e-69
"ENSG00000198624",2059.60456650262,2.91580372304526,0.162011771137597,17.9974806927384,2.03884628821347e-72,1.78087857890478e-69
"ENSG00000146250",314.499955579332,-2.75879153445307,0.153488870229139,-17.9738865126479,3.12066276564419e-72,2.58952596293155e-69
"ENSG00000107562",25187.5384327785,-1.91430948463851,0.107139204621439,-17.8674976298587,2.11260752473566e-71,1.66956354669109e-68
"ENSG00000106976",886.712933076839,-1.75892807863508,0.100178553354758,-17.5579305123949,5.17269844570428e-69,3.90209560931401e-66
"ENSG00000154930",670.990162666368,1.8958741117222,0.10875558741903,17.432429512035,4.68141006917956e-68,3.37794267426539e-65
"ENSG00000163394",1220.39993204208,-2.19127593996274,0.126138092191759,-17.3720396581827,1.34363733000029e-67,9.29125213695203e-65
"ENSG00000253368",1041.50939497766,1.98642255965364,0.115170852069384,17.247615381511,1.16613975641863e-66,7.74130215900946e-64
"ENSG00000163661",8576.64931766202,2.25762331427719,0.131609565899056,17.1539454511138,5.87264032295651e-66,3.74855149229947e-63
"ENSG00000124766",1284.22836542779,-2.41468856315905,0.14110807704221,-17.112334132629,1.20089151247512e-65,7.38147983001376e-63
"ENSG00000197381",1971.09046793645,2.31842034009026,0.136016549101564,17.0451342531789,3.79870900834042e-65,2.25154909651491e-62
"ENSG00000162616",1469.61478449393,1.51648297865091,0.0890011088342567,17.0389223068557,4.22444325754263e-65,2.41754690697164e-62
"ENSG00000148175",11208.0708502114,1.44523546081393,0.0858560385708676,16.8332418414693,1.3926382229173e-63,7.7040746491785e-61
